TIMEPOINT	G1-N	G3-S	G2-C
1	0.0	5.0	5.0
2	0.0	5.0	5.0
3	0.0	5.0	5.0
4	0.0	5.0	5.0
5	0.0	5.0	5.0
6	0.0	5.0	5.0
7	5.0	0.0	5.0
8	5.0	0.0	5.0
9	5.0	0.0	5.0
10	5.0	0.0	5.0
11	5.0	0.0	0.0
12	5.0	0.0	0.0
13	5.0	0.0	0.0
14	5.0	0.0	0.0
15	5.0	0.0	0.0
16	5.0	0.0	0.0
17	0.0	0.0	0.0
18	0.0	0.0	0.0
19	0.0	0.0	0.0
20	0.0	0.0	0.0
21	0.0	0.0	0.0
22	0.0	0.0	0.0
23	0.0	0.0	0.0
24	0.0	0.0	0.0
